MFE,FETE,FMSE,ED
-3.8,-3.83,0.95706,0.16
0,-0.2,0.726569,1.09
-6.2,-6.23,0.953738,0.23
-1.6,-1.92,0.593676,2.17
0,-0.05,0.919812,0.36
-2.6,-2.75,0.784201,2.74
-1.4,-2.17,0.285036,3.71
-4.3,-4.52,0.696711,1.17
-1.7,-1.94,0.675561,1.27
0,-0.41,0.516307,1.96
0,-0.16,0.767156,1.02
-2.7,-2.75,0.921028,0.57
-2,-2.89,0.235589,2.59
0,-0.93,0.222324,3.58
-4.1,-4.4,0.617708,0.59
-0.2,-0.72,0.428923,1.59
-0.4,-0.95,0.407329,3.23
-2.9,-3.75,0.250992,5.27
0,-0.02,0.965933,0.11
0,-0.36,0.553548,1.87
-0.7,-1.4,0.319485,3.59
0,-0.82,0.266378,3.09
-0.3,-0.7,0.523325,1.65
-0.6,-1.1,0.443954,1.94
-0.4,-0.84,0.485968,2.28
0,-0.07,0.890515,0.38
-0.3,-0.62,0.594426,1.02
0,-0.1,0.852311,0.56
0,-0.26,0.651319,1.7
-0.7,-1.7,0.197497,4.53
0,-0.22,0.704669,0.99
-1.3,-1.51,0.716135,1.1
0,-0.1,0.848256,0.52
0,-0.19,0.729516,0.84
0,-0.37,0.550399,2.11
0,-0.56,0.401838,1.75
0,-0.44,0.487127,2.31
-1.6,-1.8,0.72451,0.71
-0.8,-1.48,0.332062,3.47
-0.4,-0.77,0.551665,1.88
-2.6,-2.92,0.596287,1.38
-4.7,-4.84,0.797294,2.44
-2.7,-3.11,0.515844,4.37
-3.4,-3.87,0.463851,0.89
-1.3,-2,0.323698,4.43
-1.8,-2.32,0.429216,4.14
-0.7,-1.22,0.428859,3.49
0,-0.05,0.927715,0.17
0,-0.31,0.608524,1.52
-2.1,-2.17,0.896687,0.74
0,-0.09,0.865976,0.5
-1,-1.38,0.537736,3.32
-1.2,-1.72,0.431189,3.87
-0.9,-1.39,0.451071,1.37
-4.4,-5.13,0.307044,4.6
-4.2,-4.45,0.67195,3.68
0,-0.23,0.688205,1.4
0,-0.34,0.571731,1.59
0,-0.72,0.309061,3.36
0,-0.36,0.56042,1.92
-0.3,-0.88,0.39268,3.44
-4.1,-4.37,0.649359,0.97
0,-0.39,0.531535,2.24
-3.4,-3.69,0.626939,1.1
0,-0.13,0.811299,0.88
-5.1,-5.11,0.977421,0.05
0,-0.14,0.798011,0.95
0,-0.19,0.730927,0.94
0,-0.67,0.337951,3.1
0,-0.08,0.883911,0.31
-3.4,-3.56,0.774709,1.51
0,-0.05,0.927522,0.32
